Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-12-24 00:00:00-05:00,31.811542055468898,32.24458782802449,31.811542055468898,32.054046630859375,4953900,0.15,0
2015-12-28 00:00:00-05:00,31.898148859819482,31.924130545403266,31.586355417307693,31.86350440979004,10921900,0.15,0
2015-12-29 00:00:00-05:00,32.06271012087398,32.227266328767186,32.02806566535632,32.08003234863281,10708600,0.15,0
2015-12-30 00:00:00-05:00,32.11467683649243,32.183962443720404,31.898153945104678,31.976099014282227,9585600,0.15,0
2015-12-31 00:00:00-05:00,31.90680470227322,32.00207527711255,31.551707389429666,31.638315200805664,10332400,0.15,0
2016-01-04 00:00:00-05:00,31.316541980685816,31.316541980685816,30.75126340366913,31.090431213378906,18784400,0.15,0
2016-01-05 00:00:00-05:00,31.18609109860739,31.41220184045938,30.864316971453167,30.99476432800293,25340700,0.15,0
2016-01-06 00:00:00-05:00,30.87302012737383,31.42960362140547,30.751267902741823,31.15131187438965,18165700,0.15,0
2016-01-07 00:00:00-05:00,30.655601187128536,31.029556303889166,30.33382701136902,30.472972869873047,22591400,0.15,0
2016-01-08 00:00:00-05:00,30.551243820517207,30.68169120188632,30.099018933272966,30.133806228637695,21962200,0.15,0
2016-01-11 00:00:00-05:00,30.220770727186796,30.542544911065747,30.020748757883716,30.386005401611328,18726600,0.15,0
2016-01-12 00:00:00-05:00,30.716481524516023,30.91650351632778,30.429494603220693,30.759963989257812,18457300,0.15,0
2016-01-13 00:00:00-05:00,30.603434078081296,30.786065795380505,29.455479397202744,29.638111114501953,28322900,0.15,0
2016-01-14 00:00:00-05:00,29.733752920014297,30.516450319048825,29.57721344020739,30.255552291870117,19523600,0.15,0
2016-01-15 00:00:00-05:00,29.39459035946184,30.012049907235536,29.27283814637959,29.672882080078125,25425000,0.15,0
2016-01-19 00:00:00-05:00,30.038143595061463,30.22077192415874,29.777245508136904,30.046838760375977,21423100,0.15,0
2016-01-20 00:00:00-05:00,29.464174059515628,29.768554686344295,28.811927015597043,29.5163516998291,25278700,0.15,0
2016-01-21 00:00:00-05:00,29.49025376045475,30.055535684049765,29.211962039838465,29.672882080078125,20380300,0.15,0
2016-01-22 00:00:00-05:00,30.04683420921379,30.429487775075568,30.029440563720197,30.264249801635742,15892700,0.15,0
2016-01-25 00:00:00-05:00,30.072928666030137,30.38600435667364,29.829420927753297,29.864208221435547,16793600,0.15,0
2016-01-26 00:00:00-05:00,29.84681381699431,30.638206481933594,29.672880670496905,30.638206481933594,19728900,0.15,0
2016-01-27 00:00:00-05:00,30.464271426674696,30.916496252233927,30.203373382024772,30.359912872314453,20567600,0.15,0
2016-01-28 00:00:00-05:00,30.586030478588867,30.91650317851444,30.386008488962677,30.72517967224121,15472800,0.15,0
2016-01-29 00:00:00-05:00,31.00347636794413,31.57745361328125,30.881720804084825,31.57745361328125,19059300,0.15,0
2016-02-01 00:00:00-05:00,31.220884930418183,31.77746839700517,31.177399151623018,31.58614158630371,14144000,0.15,0
2016-02-02 00:00:00-05:00,31.177406035743783,31.255675810358614,30.655609749978147,30.74257469177246,17404500,0.15,0
